"","vaccine","state_name","vaccine_coverage_estimate"
"1","Rotavirus","United States",74.5
"2","Rotavirus","Alabama",66.6
"3","Rotavirus","Alaska",70.5
"4","Rotavirus","Arizona",72.7
"5","Rotavirus","Arkansas",73.5
"6","Rotavirus","California",70.5
"7","Rotavirus","Colorado",77.1
"8","Rotavirus","Connecticut",83
"9","Rotavirus","Delaware",70
"10","Rotavirus","District of Columbia",73
"11","Rotavirus","Florida",71.4
"12","Rotavirus","Georgia",72.1
"13","Rotavirus","Hawaii",75.5
"14","Rotavirus","Idaho",74.1
"15","Rotavirus","Illinois",77
"16","Rotavirus","Indiana",75.3
"17","Rotavirus","Iowa",77.4
"18","Rotavirus","Kansas",73.6
"19","Rotavirus","Kentucky",72.3
"20","Rotavirus","Louisiana",70.1
"21","Rotavirus","Maine",78.2
"22","Rotavirus","Maryland",79.4
"23","Rotavirus","Massachusetts",88.3
"24","Rotavirus","Michigan",77
"25","Rotavirus","Minnesota",76.9
"26","Rotavirus","Mississippi",58.2
"27","Rotavirus","Missouri",83.7
"28","Rotavirus","Montana",64.8
"29","Rotavirus","Nebraska",79.3
"30","Rotavirus","Nevada",68.5
"31","Rotavirus","New Hampshire",85.7
"32","Rotavirus","New Jersey",73.6
"33","Rotavirus","New Mexico",71.8
"34","Rotavirus","New York",73.1
"35","Rotavirus","North Carolina",83.3
"36","Rotavirus","North Dakota",76.5
"37","Rotavirus","Ohio",76.4
"38","Rotavirus","Oklahoma",68.5
"39","Rotavirus","Oregon",72.4
"40","Rotavirus","Pennsylvania",79.9
"41","Rotavirus","Rhode Island",84.9
"42","Rotavirus","South Carolina",75.2
"43","Rotavirus","South Dakota",73.4
"44","Rotavirus","Tennessee",75.2
"45","Rotavirus","Texas",71.5
"46","Rotavirus","Utah",74.8
"47","Rotavirus","Vermont",81.1
"48","Rotavirus","Virginia",79.1
"49","Rotavirus","Washington",76.5
"50","Rotavirus","West Virginia",75.6
"51","Rotavirus","Wisconsin",78.5
"52","Rotavirus","Wyoming",73.7
"53","Rotavirus","Puerto Rico",62.4
